name,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
North Dakota,8590,9189,9993,10903,11868,13230,14070,14453,14781,15116,15449,15770,16165,16597,17362,17902,18546,19065,19700,20299,20984,21792,22690,23437,24416,25479,26335,27511,28875,29831,31172,32926,34947,35662,37602,41092,45112,46835,49916,49722,48057,49452,51330
Ohio,10906,11758,12641,13658,14650,15944,16764,17592,18628,19359,19839,20459,21427,21960,22825,23586,24748,25296,26168,26843,27695,28903,30183,31233,32407,33281,34231,35416,36803,37751,39054,40343,41221,41389,42322,43701,44997,45523,46875,47951,48502,50019,51440
Oklahoma,9184,9939,10835,11959,13424,15110,16325,16752,17394,18103,18325,18510,19049,19533,20309,21075,21731,22097,22515,22874,23454,24291,25186,25981,27166,28288,29018,30323,31397,32474,34852,36214,37820,37781,38832,40722,42328,43044,44464,45098,44722,46022,47579
Oregon,10143,10858,11744,12813,13935,14938,15676,16190,16838,17273,17784,18359,19204,19944,21026,22075,23247,23951,24749,25787,26989,28371,29497,30822,32774,33312,33915,34576,35741,37058,38674,40258,41233,41372,42272,43572,44897,45773,47270,49167,50392,51911,53684
Pennsylvania,10487,11214,12019,12987,14100,15269,16030,16688,17493,18207,18955,19917,21026,21871,22963,23881,25111,25696,26416,27310,28387,29563,30980,32028,33338,34266,35094,36316,37822,38874,40476,42382,43517,43941,44802,46084,47390,48064,49505,51075,51348,52882,54526
Rhode Island,9140,9559,10254,11164,12217,13203,14132,14945,15715,16461,17330,18483,19871,20862,22060,22767,23968,24662,25360,26272,27046,28355,29818,30877,32425,33623,34969,36744,37999,39176,40946,42140,43554,43982,45317,46309,47465,48459,50002,51281,51975,53398,54310
South Carolina,8254,8892,9647,10484,11484,12566,13353,14175,14988,15741,16464,17113,17892,18698,19578,20428,21337,21901,22530,23299,23992,24905,26054,27055,28205,29351,30236,31267,32564,33756,35158,36397,37367,37897,38750,39672,40576,41033,42055,43291,44203,45563,46173
South Dakota,7632,8204,8957,9734,10750,11715,12325,12799,13273,13738,14286,14694,15220,15654,16348,17070,17798,18387,19088,19697,20353,21195,22320,23293,24396,25286,26145,27047,28143,28970,30065,31524,32649,33057,33913,34994,36211,36824,38263,39639,40704,41944,43089
Tennessee,8850,9513,10371,11259,12338,13505,14353,15186,15992,16858,17516,18335,19065,19583,20447,21363,22505,23122,23915,24754,25597,26805,28020,29014,30043,30971,31991,33043,34387,35422,37046,38567,39461,39744,41021,41883,43412,43575,44719,46206,46942,48337,49985
Texas,9734,10497,11518,12687,14154,15751,16910,17614,18347,19132,19511,20011,20822,21444,22516,23432,24560,25082,25610,26498,27703,29241,31051,32436,34415,35487,35679,36494,38058,39748,42045,44247,45537,45255,46517,48299,50090,50668,52679,53767,53848,55362,57157
Utah,9247,9967,10802,11817,13089,14583,15403,16017,16708,17160,17556,18054,18611,19079,19782,20725,21723,22169,22907,23787,24621,25745,26908,27917,29316,30304,30946,31670,32907,34056,35826,37647,38696,39344,40164,41142,42243,42723,43851,45247,46128,47453,49386
Vermont,8276,8785,9520,10336,11219,12226,13047,13821,14533,15470,16290,17124,18115,19024,20022,20769,21670,22093,22392,22996,23852,24811,25936,26862,28230,29536,30242,31374,32637,33571,34901,36323,37706,38140,38745,39487,40201,41237,42211,43295,44175,45362,46722
Virginia,9567,10238,10986,11907,13005,14351,15494,16353,17323,18149,19066,20027,21161,22038,22943,24055,25190,25756,26510,27258,28342,29721,31489,33150,35265,36893,37542,39301,41352,43186,45123,47198,48504,49552,50989,52064,53019,53307,54349,55709,56268,58061,59775
Washington,10734,11604,12650,13822,15086,16533,17539,17918,18282,18912,19649,20124,20816,21636,22885,24211,25870,26234,26882,27918,29348,31243,33598,36113,37544,37796,38522,39317,40502,41752,43886,46221,47274,48204,49327,51099,52433,53347,55346,57015,58966,61863,65640
West Virginia,10097,10949,11781,12908,14112,15380,16338,16499,17306,17942,18328,18725,19251,19678,20513,21124,21798,22082,22692,23132,23658,24214,24782,25505,26400,27499,28113,28881,30026,31047,32411,33606,35514,36397,37131,38530,39193,39656,40663,41201,41166,42884,45507
Wisconsin,9773,10403,11290,12169,13142,14224,15023,15603,16344,16931,17569,18240,19106,19668,20584,21352,22508,23240,24079,24841,25780,27078,28332,29388,30580,31569,32653,33673,35032,35815,37204,38548,39662,39619,40422,41607,42668,43376,44439,45887,46538,47877,49413
Wyoming,10098,11018,12189,13604,15335,16877,17577,17434,17945,18605,18620,18445,18854,19116,20058,20757,21314,21928,22425,22755,23287,24307,25128,26057,27138,28491,29551,30657,32107,34035,37372,39956,42316,41554,42652,44038,45401,45853,47412,47193,46019,47344,49217
